word	percent	concreteness	count_root	count_occur
boy	0.512	4.67959	127	248
has	0.506	1.93597	120	237
kitten	0.5	33.34035	6	12
swings	0.5	26.74368	5	10
having	0.5	6.14909	7	14
play	0.5	8.32997	15	30
racing	0.5	33.89687	2	4
snowboarding	0.5	40.92058	2	4
freezer	0.5	72.03149	1	2
meters	0.5	108.69048	3	6
gathering	0.5	15.83908	1	2
piled	0.5	15.63299	1	2
posted	0.5	28.75693	1	2
pedestrians	0.5	22.33792	1	2
woman	0.494	2.87223	260	526
airplane	0.494	33.13236	41	83
picture	0.491	1.77739	79	161
cat	0.474	17.75538	135	285
set	0.471	4.00516	24	51
girl	0.469	3.92468	82	175
skating	0.467	25.72916	7	15
decorated	0.467	7.77598	14	30
plane	0.465	31.97335	40	86
touching	0.462	10.72475	6	13
restroom	0.462	32.54887	6	13
opened	0.455	13.51496	5	11
prepares	0.455	10.99121	5	11
skiing	0.455	30.41452	25	55
airliner	0.455	90.49950	5	11
ready	0.434	4.73125	33	76
stack	0.429	12.39653	3	7
climbing	0.429	16.19281	3	7
player	0.428	18.25265	62	145
bunch	0.422	3.21770	35	83
sign	0.421	14.85157	80	190
hotdog	0.421	77.13205	8	19
arranged	0.417	11.52634	5	12
giraffe	0.412	39.12977	73	177
mouse	0.412	55.31801	7	17
packed	0.4	27.55679	4	10
rest	0.4	8.70333	6	15
cats	0.4	31.91578	6	15
leaning	0.4	4.92286	8	20
structure	0.4	10.28349	2	5
trying	0.4	5.85030	8	20
coming	0.4	8.25171	16	40
seated	0.4	9.19530	4	10
talks	0.4	18.94304	2	5
plant	0.4	19.27667	6	15
gets	0.4	11.30532	4	10
assortment	0.4	14.97768	4	10
skateboarders	0.4	28.86142	2	5
sticks	0.4	11.12815	2	5
snowboarders	0.4	65.44143	2	5
goats	0.4	66.65351	2	5
bird	0.396	22.47095	38	96
giraffes	0.392	47.95652	31	79
women	0.388	4.73329	19	49
engine	0.381	37.34677	8	21
dressed	0.379	7.75186	11	29
cut	0.379	11.11160	11	29
dog	0.377	8.55873	109	289
toothbrushes	0.375	60.43159	3	8
mother	0.375	13.54910	3	8
bunches	0.375	120.30566	3	8
appears	0.375	5.70358	3	8
machine	0.375	18.27077	3	8
kid	0.37	6.00399	10	27
tray	0.368	12.47731	14	38
cow	0.368	34.66015	25	68
sculpture	0.364	12.97532	4	11
displaying	0.364	10.80603	4	11
walk	0.361	5.21173	13	36
meal	0.36	14.63670	9	25
look	0.357	2.83938	10	28
enjoying	0.357	7.42396	5	14
working	0.353	14.65013	6	17
slices	0.353	17.73306	12	34
skier	0.353	30.65403	12	34
bathroom	0.352	23.00983	119	338
doing	0.351	15.00935	13	37
bear	0.35	25.45707	55	157
types	0.35	10.70117	7	20
have	0.346	3.04264	9	26
surfer	0.346	42.41608	9	26
skateboarder	0.344	27.16249	11	32
row	0.341	5.80681	14	41
jumping	0.341	12.69677	14	41
posing	0.34	7.14018	16	47
pair	0.339	4.64014	21	62
horses	0.337	28.51766	30	89
light	0.337	10.02697	31	92
carrying	0.333	6.99061	12	36
wagon	0.333	86.03735	1	3
signal	0.333	48.05292	2	6
lying	0.333	7.71677	14	42
persons	0.333	10.50956	1	3
snowboarder	0.333	40.47400	5	15
statue	0.333	9.92953	5	15
giving	0.333	10.82351	2	6
patio	0.333	25.75272	2	6
roses	0.333	81.40711	1	3
line	0.333	3.88073	11	33
show	0.333	9.04478	5	15
truck	0.333	23.63595	42	126
type	0.333	5.88079	3	9
ties	0.333	46.00607	2	6
floating	0.333	31.17262	4	12
practicing	0.333	17.03899	1	3
ducks	0.333	71.73483	5	15
rackets	0.333	50.12381	1	3
pass	0.333	11.78730	2	6
faces	0.333	16.32988	1	3
ladies	0.333	11.48453	1	3
elephant	0.33	47.14563	37	112
bowl	0.325	12.19955	41	126
dish	0.324	15.15116	12	37
birds	0.323	16.95226	21	65
slice	0.323	18.92098	10	31
tower	0.322	48.49527	19	59
attached	0.321	6.29835	9	28
room	0.319	7.13591	95	298
cows	0.318	41.50226	21	66
bears	0.317	48.16206	13	41
zebra	0.316	53.40692	30	95
vase	0.313	45.25966	31	99
guys	0.312	7.82809	5	16
feeding	0.312	18.35541	5	16
crowd	0.306	9.44064	11	36
plate	0.305	10.58410	110	361
child	0.304	5.55055	42	138
adult	0.304	10.76562	7	23
bus	0.302	24.71321	60	199
make	0.3	7.01004	3	10
bow	0.3	42.49068	3	10
trucks	0.3	28.07820	3	10
fireplace	0.3	42.24705	3	10
blowing	0.3	43.86837	3	10
pan	0.3	24.91550	9	30
laying	0.297	6.43244	43	145
swinging	0.294	23.16857	10	34
serving	0.294	12.32186	5	17
swimming	0.294	34.89748	5	17
walking	0.294	4.24860	67	228
photos	0.286	10.42325	2	7
kind	0.286	6.31064	2	7
sailing	0.286	56.63031	2	7
pizzas	0.286	59.71365	4	14
doll	0.286	23.64759	2	7
pitcher	0.286	49.08260	6	21
beverage	0.286	19.42814	2	7
icing	0.286	36.23033	2	7
signs	0.278	26.88060	10	36
toddler	0.278	22.01340	5	18
waiting	0.273	5.53350	9	33
preparing	0.273	10.85588	6	22
lit	0.273	9.81938	6	22
planes	0.273	49.01110	6	22
containers	0.273	41.26696	3	11
see	0.273	5.68063	3	11
cooking	0.273	23.49537	6	22
parade	0.273	46.21861	3	11
dogs	0.271	15.92969	19	70
train	0.27	22.01280	75	278
driving	0.269	14.43560	14	52
clock	0.267	31.54337	43	161
men	0.267	4.18014	40	150
piece	0.267	6.39076	20	75
watch	0.267	5.95359	4	15
sandwich	0.267	31.20556	24	90
batter	0.267	50.36931	8	30
children	0.264	6.48717	19	72
case	0.263	13.84820	5	19
fruits	0.263	50.14358	5	19
kitchen	0.257	17.18229	55	214
toilet	0.256	30.96973	64	250
closed	0.25	9.69958	1	4
box	0.25	8.22959	11	44
plates	0.25	18.52893	9	36
held	0.25	9.54438	4	16
players	0.25	21.09792	9	36
pot	0.25	18.80637	7	28
spoon	0.25	21.41027	4	16
family	0.25	9.43752	3	12
images	0.25	16.48294	1	4
watches	0.25	6.08665	3	12
landscape	0.25	12.13583	2	8
boarding	0.25	12.25907	3	12
pointing	0.25	12.61237	1	4
urinals	0.25	82.29316	1	4
horseback	0.25	42.04809	1	4
skateboards	0.25	23.16752	4	16
wind	0.25	33.73949	1	4
use	0.25	9.06578	3	12
bending	0.25	15.80352	2	8
moves	0.25	14.40424	1	4
loading	0.25	24.07865	1	4
playing	0.247	6.83786	55	223
oven	0.246	31.93782	14	57
desk	0.243	22.19076	28	115
filled	0.242	4.14048	32	132
elephants	0.242	60.36709	23	95
eating	0.238	8.13694	30	126
going	0.238	5.73020	10	42
setting	0.238	3.60536	5	21
surfing	0.238	45.67980	5	21
place	0.235	8.41527	4	17
making	0.235	6.14298	4	17
intersection	0.233	23.22646	7	30
pizza	0.233	27.00934	55	236
pie	0.231	25.86969	3	13
resting	0.231	5.23968	6	26
pieces	0.229	9.05813	8	35
reaching	0.227	9.54578	5	22
taking	0.227	4.20430	15	66
pulling	0.226	17.39282	7	31
boys	0.225	11.07496	9	40
variety	0.222	11.48408	4	18
cake	0.222	16.98864	40	180
race	0.222	31.38486	2	9
doughnut	0.222	31.35505	2	9
steps	0.222	16.52187	2	9
passing	0.222	11.51134	4	18
potted	0.222	23.56999	2	9
includes	0.222	13.14304	2	9
are	0.221	1.47533	146	660
about	0.217	4.16359	10	46
microwave	0.216	48.40789	8	37
crossing	0.214	11.16598	3	14
zebras	0.214	65.70860	15	70
blender	0.214	105.24252	3	14
container	0.214	14.40321	3	14
pastry	0.214	21.23737	3	14
bench	0.211	12.35171	30	142
drinking	0.211	11.27862	4	19
boats	0.211	53.78747	8	38
talking	0.209	9.28968	9	43
cutting	0.204	12.78675	10	49
grazing	0.203	22.85800	15	74
standing	0.201	1.98244	140	695
fork	0.2	22.03717	7	35
aircraft	0.2	38.31213	1	5
pushing	0.2	18.23799	1	5
bride	0.2	102.65302	1	5
brushing	0.2	86.83768	5	25
flown	0.2	73.74928	1	5
platter	0.2	22.96653	2	10
male	0.2	6.31256	6	30
hotdogs	0.2	64.37429	1	5
sticking	0.2	7.62012	4	20
bull	0.2	39.39916	1	5
friends	0.2	13.16415	2	10
petting	0.2	31.05768	1	5
2	0.2	8.54433	1	5
riders	0.2	25.27107	1	5
reads	0.2	14.05019	1	5
puppy	0.2	33.85747	1	5
baskets	0.2	43.18573	1	5
siting	0.2	9.58385	1	5
highway	0.2	27.52898	2	10
workers	0.2	22.35829	1	5
kinds	0.2	15.34591	1	5
flying	0.196	14.66289	38	194
showing	0.192	3.97602	5	26
people	0.191	2.77582	111	582
go	0.19	7.13050	4	21
girls	0.188	8.41480	3	16
refrigerator	0.188	41.16993	6	32
monitor	0.188	53.26407	3	16
clean	0.186	18.98626	8	43
traveling	0.186	14.48888	8	43
sheep	0.186	48.46145	18	97
cross	0.185	16.55884	5	27
lights	0.182	16.62668	6	33
performing	0.182	18.21268	2	11
controller	0.182	30.57222	4	22
adults	0.182	10.72490	2	11
lunch	0.182	31.28615	2	11
sliced	0.182	22.22091	2	11
wrapped	0.182	14.31866	2	11
vehicle	0.176	10.87082	3	17
facing	0.176	6.74276	3	17
display	0.176	8.68540	9	51
reflection	0.176	15.10099	3	17
utensils	0.176	18.35790	3	17
throwing	0.176	22.61439	3	17
sitting	0.175	1.62604	162	925
surrounded	0.171	3.59910	6	35
toilets	0.167	53.81901	1	6
shop	0.167	14.76050	3	18
frame	0.167	13.85207	1	6
control	0.167	20.72901	4	24
sail	0.167	71.28926	1	6
put	0.167	11.49764	1	6
kneeling	0.167	9.63944	1	6
built	0.167	17.33168	1	6
skies	0.167	19.61451	2	12
steep	0.167	33.78811	1	6
locomotive	0.167	121.31744	1	6
pastries	0.167	35.64915	2	12
curtains	0.167	33.73949	1	6
team	0.167	21.44507	2	12
growing	0.167	70.03456	1	6
dishes	0.167	21.32402	1	6
looking	0.166	1.86318	37	223
riding	0.165	5.99499	50	303
cup	0.164	15.52516	11	67
sink	0.163	22.65598	28	172
is	0.161	1.05613	272	1692
surfboards	0.16	31.85721	4	25
holding	0.158	2.56770	83	524
airplanes	0.158	53.39991	3	19
smiling	0.156	6.20678	7	45
area	0.154	2.45942	26	169
pants	0.154	9.55035	2	13
cart	0.154	21.29522	4	26
watching	0.154	5.25401	6	39
computer	0.153	21.47019	19	124
close	0.153	2.43721	18	118
horse	0.152	24.32223	25	165
church	0.15	65.34851	3	20
fries	0.15	103.31669	3	20
bags	0.15	14.00404	3	20
car	0.148	8.27095	17	115
painted	0.147	7.31322	5	34
jet	0.147	45.69917	5	34
up	0.147	1.27011	55	375
tub	0.146	45.79424	7	48
mounted	0.143	10.63327	2	14
shaped	0.143	6.45304	3	21
land	0.143	13.31397	1	7
rider	0.143	22.73959	2	14
hand	0.143	3.95145	13	91
clocks	0.143	65.79204	2	14
goat	0.143	51.79321	1	7
cluttered	0.143	24.44754	1	7
cargo	0.143	39.21821	1	7
trays	0.143	38.64643	1	7
fashioned	0.143	11.35431	1	7
attempting	0.143	11.10724	1	7
sofa	0.143	23.38387	2	14
work	0.143	12.00671	1	7
range	0.143	41.95877	1	7
action	0.143	14.83074	1	7
cups	0.143	19.14277	1	7
knife	0.139	13.43502	5	36
boat	0.138	28.36761	13	94
corner	0.137	7.04372	7	51
made	0.136	8.54816	6	44
skiers	0.136	45.34986	3	22
table	0.134	4.40357	70	522
sleeping	0.133	17.88525	6	45
fenced	0.133	16.87941	2	15
book	0.133	12.41991	6	45
beds	0.133	48.16344	2	15
counter	0.132	9.17371	10	76
running	0.132	7.43283	5	38
building	0.13	5.78957	24	184
cellphone	0.13	17.78511	3	23
pole	0.129	16.95899	9	70
kites	0.125	55.84570	4	32
towel	0.125	16.86618	3	24
doughnuts	0.125	59.58636	4	32
formation	0.125	113.24714	1	8
pasture	0.125	33.94696	1	8
fridge	0.125	47.67891	2	16
flight	0.125	26.52461	1	8
hillside	0.125	18.02203	1	8
surfers	0.125	42.95237	1	8
cover	0.125	10.82969	1	8
plain	0.125	18.47535	1	8
ship	0.125	53.19359	1	8
reading	0.125	9.32232	1	8
rows	0.125	15.25727	1	8
clouds	0.125	28.78746	1	8
holder	0.125	17.83307	1	8
using	0.121	6.46633	8	66
plants	0.121	11.80475	4	33
someone	0.119	3.53200	5	42
couch	0.118	16.59171	12	102
hitting	0.118	22.10252	2	17
tv	0.118	26.31260	6	51
motorcycle	0.115	35.33430	14	122
store	0.114	12.93072	4	35
hanging	0.113	5.44320	6	53
heads	0.111	13.71181	1	9
garage	0.111	21.28518	1	9
van	0.111	20.03056	1	9
benches	0.111	20.93719	2	18
shopping	0.111	20.25623	1	9
monitors	0.111	118.39315	1	9
vases	0.111	47.83925	1	9
crowded	0.111	10.78867	1	9
soup	0.111	88.09175	2	18
purse	0.111	50.34469	1	9
spread	0.111	18.22117	1	9
says	0.111	14.24543	1	9
mug	0.111	31.63407	1	9
used	0.111	7.79058	1	9
bar	0.111	13.25834	1	9
bottle	0.107	11.17539	3	28
laptop	0.107	23.48405	17	159
donuts	0.106	54.60304	5	47
door	0.106	8.61563	5	47
hit	0.105	21.45555	4	38
post	0.105	17.06370	2	19
surf	0.103	25.17247	3	29
bed	0.103	14.98270	22	213
drinks	0.1	13.84597	1	10
lot	0.1	3.85178	7	70
greens	0.1	27.60853	1	10
catching	0.1	19.75088	1	10
match	0.1	36.62425	1	10
pool	0.1	21.14235	1	10
hole	0.1	37.93613	1	10
scooter	0.1	42.18365	1	10
pipe	0.1	27.29495	1	10
flower	0.1	19.56144	2	20
pans	0.1	37.00745	1	10
get	0.1	7.04450	1	10
kite	0.099	28.76891	10	101
full	0.095	3.42449	8	84
sinks	0.094	44.56832	3	32
passengers	0.091	17.13309	1	11
animal	0.091	6.62411	3	33
leaves	0.091	15.02462	2	22
desktop	0.091	87.99580	1	11
houses	0.091	16.08503	1	11
habitat	0.091	27.81546	1	11
suitcases	0.091	26.74041	1	11
donut	0.091	32.92407	2	22
loaded	0.091	14.58456	1	11
style	0.091	5.64560	1	11
left	0.091	4.69190	1	11
cage	0.087	18.37188	2	23
topped	0.085	9.59807	4	47
animals	0.083	11.52211	4	48
kids	0.083	7.80943	3	36
lettuce	0.083	43.94762	1	12
trunk	0.083	36.30079	2	24
pasta	0.083	79.47333	2	24
staring	0.083	8.97368	1	12
vanity	0.083	46.13513	1	12
bowls	0.083	27.91904	1	12
airport	0.083	43.83297	5	60
pillow	0.083	26.24201	1	12
messy	0.083	18.11205	1	12
scissors	0.082	39.39404	6	73
banana	0.082	26.87597	5	61
board	0.082	6.82632	8	98
catcher	0.08	55.92484	2	25
eaten	0.08	14.12975	2	25
market	0.08	56.32959	2	25
buildings	0.078	10.50632	4	51
graffiti	0.077	22.20669	1	13
chairs	0.077	17.87885	4	52
toothbrush	0.077	59.76395	3	39
toy	0.077	6.93355	2	26
object	0.077	6.90328	1	13
stall	0.077	30.15197	1	13
buses	0.077	34.45512	1	13
floors	0.077	24.15988	1	13
round	0.077	7.33033	1	13
gold	0.077	17.79006	1	13
stove	0.074	36.71385	5	68
television	0.073	26.12839	4	55
baby	0.072	11.09436	5	69
tree	0.072	7.41566	7	97
meat	0.071	25.78571	3	42
drawn	0.071	70.11597	1	14
onions	0.071	29.25221	1	14
stick	0.071	13.09574	1	14
bridge	0.071	23.08850	1	14
boards	0.071	13.36139	1	14
bathtub	0.071	56.66854	1	14
way	0.069	7.00746	2	29
bike	0.068	19.70221	5	73
cooked	0.067	24.91625	1	15
appliances	0.067	61.69452	1	15
shelf	0.067	11.55948	2	30
bottom	0.067	9.73927	1	15
dinner	0.067	18.68074	1	15
cabinet	0.067	20.70602	1	15
pots	0.067	38.48741	1	15
wearing	0.066	3.76962	11	166
bananas	0.065	40.82666	5	77
drink	0.065	9.53697	2	31
silver	0.065	7.29299	2	31
seat	0.065	15.55352	2	31
empty	0.062	4.31531	4	64
pepperoni	0.062	96.38395	1	16
noodles	0.062	93.05932	1	16
dirty	0.062	17.72005	1	16
boxes	0.062	14.07554	1	16
baked	0.059	21.64501	1	17
screen	0.059	18.91690	2	34
rack	0.059	10.22409	1	17
jump	0.059	20.46021	1	17
house	0.057	5.14679	2	35
body	0.056	10.46810	3	54
lamp	0.056	18.57612	1	18
office	0.056	24.81823	1	18
keyboard	0.054	41.29985	2	37
covered	0.053	4.35000	6	113
cream	0.053	20.39274	1	19
passenger	0.053	18.45291	1	19
pillows	0.053	51.50433	1	19
station	0.051	27.35466	2	39
hands	0.051	4.76332	2	39
shower	0.051	49.17926	3	59
fruit	0.051	23.93411	3	59
rain	0.05	33.62890	1	20
flag	0.05	14.66426	1	20
sandwiches	0.05	31.40758	1	20
lots	0.049	4.10573	2	41
oranges	0.049	82.33956	2	41
remote	0.048	22.36434	3	62
broccoli	0.048	56.74865	5	105
end	0.048	4.89987	1	21
flowers	0.047	24.74407	4	86
luggage	0.046	14.88589	3	65
computers	0.045	60.86773	1	22
carriage	0.045	113.47410	1	22
phone	0.045	11.03617	7	154
eat	0.045	8.30282	1	22
vegetables	0.044	21.98965	4	90
carrots	0.044	33.05429	2	45
bicycle	0.043	29.35297	1	23
time	0.043	8.28860	1	23
country	0.043	20.99508	1	23
snowboard	0.043	31.37082	2	47
umbrellas	0.043	34.31564	2	47
umbrella	0.042	20.67499	4	95
day	0.042	3.28471	3	72
hat	0.042	5.77070	2	48
skis	0.04	28.67316	4	100
game	0.04	11.27590	6	150
road	0.04	5.58828	6	150
purple	0.04	7.10161	1	25
glass	0.04	7.03837	4	101
wet	0.038	17.81537	1	26
apples	0.037	68.38716	1	27
bag	0.037	9.76999	1	27
's	0.037	1.89852	4	109
basket	0.036	12.47933	1	28
apple	0.036	31.79070	1	28
cars	0.036	12.85305	2	56
getting	0.034	4.75717	2	58
window	0.034	6.81316	3	88
street	0.033	6.00818	16	478
walls	0.033	13.76313	1	30
trick	0.033	23.29548	1	30
ocean	0.033	19.09313	2	60
bath	0.032	29.04048	1	31
ramp	0.03	25.92327	1	33
tracks	0.03	37.91749	2	66
sidewalk	0.03	7.58299	3	101
motorcycles	0.029	46.15888	1	34
parking	0.029	11.22309	2	69
glasses	0.029	9.79302	1	35
teeth	0.029	72.58582	1	35
surfboard	0.028	30.39040	2	71
half	0.028	9.61206	1	36
bread	0.028	15.35445	1	36
chair	0.027	7.39946	3	110
park	0.027	8.17144	3	113
food	0.026	7.31273	6	227
items	0.026	8.10843	1	38
busy	0.026	15.39488	1	38
wall	0.026	3.71212	3	117
furniture	0.026	29.96928	1	39
colored	0.025	3.66704	1	40
salad	0.024	33.80510	1	41
inside	0.023	2.79685	2	86
city	0.023	7.72107	4	173
runway	0.022	69.68066	1	45
skate	0.021	22.81315	1	48
night	0.021	21.30048	1	48
fence	0.021	7.90132	2	97
track	0.019	26.90765	1	54
beach	0.018	17.71180	3	167
top	0.017	1.73518	7	401
open	0.017	2.89688	2	116
this	0.017	2.20633	2	118
field	0.017	5.96029	6	357
above	0.016	3.89466	1	61
colorful	0.016	5.22113	1	61
camera	0.015	4.41019	1	68
ground	0.014	2.87846	1	74
court	0.013	31.53012	1	77
green	0.012	2.63123	3	241
blue	0.012	2.43449	3	253
big	0.012	2.19716	1	85
orange	0.011	4.12869	1	94
mirror	0.01	18.84121	1	97
frisbee	0.01	25.82008	1	99
stop	0.01	19.80494	1	102
side	0.01	2.21837	2	207
air	0.009	7.25787	1	109
back	0.009	3.37683	1	111
trees	0.008	5.45548	1	120
one	0.008	1.74169	1	127
sky	0.007	13.11897	1	144
skateboard	0.006	20.58004	1	157
ball	0.006	14.59524	1	159
black	0.006	2.18168	2	344
out	0.006	1.71876	1	177
there	0.005	1.51333	1	217
while	0.004	1.94841	1	223
grass	0.004	6.59613	1	238
baseball	0.004	25.83562	1	249
water	0.004	6.86125	1	274
red	0.004	2.69674	1	279
young	0.003	3.01313	1	309
front	0.003	1.59389	1	320
down	0.003	2.77789	1	370
at	0.001	1.72406	1	711
two	0.001	1.53374	1	804
to	0.001	1.13505	1	1116
a	0.0	1.00115	7	16518
with	0.0	1.08766	1	2674
in	0.0	1.04648	1	3205
