word	percent	concreteness	count_head	count_occur
pizzas	1.286	59.71365	18	14
goat	1.286	51.79321	9	7
cap	1.286	10.39724	9	7
icing	1.286	36.23033	9	7
passing	1.278	11.51134	23	18
toddler	1.278	22.01340	23	18
helmet	1.273	17.83024	42	33
run	1.273	14.03962	14	11
parade	1.273	46.21861	14	11
tub	1.271	45.79424	61	48
hat	1.271	5.77070	61	48
grazing	1.27	22.85800	94	74
clock	1.267	31.54337	204	161
cats	1.267	31.91578	19	15
skating	1.267	25.72916	19	15
pots	1.267	38.48741	19	15
building	1.266	5.78957	233	184
oven	1.263	31.93782	72	57
cake	1.261	16.98864	227	180
car	1.261	8.27095	145	115
bag	1.259	9.76999	34	27
filled	1.258	4.14048	166	132
closed	1.25	9.69958	5	4
light	1.25	10.02697	115	92
boarding	1.25	12.25907	15	12
control	1.25	20.72901	30	24
stream	1.25	31.34682	5	4
uniforms	1.25	23.02107	5	4
cover	1.25	10.82969	10	8
basket	1.25	12.47933	35	28
pier	1.25	45.78198	10	8
bun	1.25	80.11473	20	16
mother	1.25	13.54910	10	8
fridge	1.25	47.67891	20	16
net	1.25	29.43500	5	4
ingredients	1.25	26.14128	10	8
flag	1.25	14.66426	25	20
feeding	1.25	18.35541	20	16
falling	1.25	15.01027	5	4
lift	1.25	41.25888	5	4
ship	1.25	53.19359	10	8
rows	1.25	15.25727	10	8
stadium	1.25	47.39268	5	4
wearing	1.247	3.76962	207	166
sleeping	1.244	17.88525	56	45
shirt	1.238	4.41367	104	84
engine	1.238	37.34677	26	21
vehicle	1.235	10.87082	21	17
painted	1.235	7.31322	42	34
hitting	1.235	22.10252	21	17
cabinets	1.233	55.63774	37	30
watching	1.231	5.25401	48	39
giraffes	1.228	47.95652	97	79
curb	1.222	12.66055	22	18
bar	1.222	13.25834	11	9
garage	1.222	21.28518	11	9
refrigerator	1.219	41.16993	39	32
crossing	1.214	11.16598	17	14
pole	1.214	16.95899	85	70
blender	1.214	105.24252	17	14
table	1.213	4.40357	633	522
fruits	1.211	50.14358	23	19
toothbrush	1.205	59.76395	47	39
appliances	1.2	61.69452	18	15
birds	1.2	16.95226	78	65
gate	1.2	16.65442	12	10
zebra	1.2	53.40692	114	95
bow	1.2	42.49068	12	10
kicking	1.2	93.36731	6	5
highway	1.2	27.52898	12	10
pool	1.2	21.14235	12	10
glove	1.2	30.47895	6	5
part	1.2	7.62364	6	5
beds	1.2	48.16344	18	15
foreground	1.2	6.40776	12	10
cabinet	1.2	20.70602	18	15
bride	1.2	102.65302	6	5
toys	1.2	17.59417	12	10
pipe	1.2	27.29495	12	10
match	1.2	36.62425	12	10
puppy	1.2	33.85747	6	5
fireplace	1.2	42.24705	12	10
scooter	1.2	42.18365	12	10
bull	1.2	39.39916	6	5
goats	1.2	66.65351	6	5
board	1.194	6.82632	117	98
shaped	1.19	6.45304	25	21
sink	1.186	22.65598	204	172
items	1.184	8.10843	45	38
animal	1.182	6.62411	39	33
path	1.182	9.50978	13	11
planes	1.182	49.01110	26	22
habitat	1.182	27.81546	13	11
wrapped	1.182	14.31866	13	11
left	1.182	4.69190	13	11
mouse	1.176	55.31801	20	17
horse	1.176	24.32223	194	165
boys	1.175	11.07496	47	40
wall	1.171	3.71212	137	117
door	1.17	8.61563	55	47
kite	1.168	28.76891	118	101
leading	1.167	13.27191	7	6
trailer	1.167	46.67310	14	12
lake	1.167	19.35723	28	24
shoe	1.167	39.17714	7	6
taken	1.167	5.49420	14	12
shop	1.167	14.76050	21	18
family	1.167	9.43752	14	12
frame	1.167	13.85207	7	6
built	1.167	17.33168	7	6
sort	1.167	7.57028	7	6
ties	1.167	46.00607	7	6
tongue	1.167	33.57437	7	6
railing	1.167	22.78670	7	6
hats	1.167	15.89259	7	6
motorcycle	1.164	35.33430	142	122
seat	1.161	15.55352	36	31
post	1.158	17.06370	22	19
arms	1.154	7.65156	15	13
stall	1.154	30.15197	15	13
bed	1.15	14.98270	245	213
church	1.15	65.34851	23	20
topped	1.149	9.59807	54	47
track	1.148	26.90765	62	54
feet	1.143	9.95359	8	7
wheel	1.143	16.80551	8	7
knife	1.139	13.43502	41	36
field	1.137	5.96029	406	357
ducks	1.133	71.73483	17	15
running	1.132	7.43283	43	38
yard	1.129	8.95431	35	31
drink	1.129	9.53697	35	31
men	1.127	4.18014	169	150
pond	1.125	32.28964	18	16
blanket	1.125	17.08511	27	24
landscape	1.125	12.13583	9	8
toothbrushes	1.125	60.43159	9	8
pasture	1.125	33.94696	9	8
hillside	1.125	18.02203	9	8
hand	1.121	3.95145	102	91
house	1.114	5.14679	39	35
fence	1.113	7.90132	108	97
day	1.111	3.28471	80	72
windows	1.111	15.56038	30	27
race	1.111	31.38486	10	9
egg	1.111	36.30246	10	9
monitors	1.111	118.39315	10	9
balls	1.111	23.60976	10	9
keyboard	1.108	41.29985	41	37
back	1.108	3.37683	123	111
outfit	1.1	12.02431	11	10
streets	1.1	16.38813	11	10
bottles	1.1	21.10432	11	10
lots	1.098	4.10573	45	41
phone	1.097	11.03617	169	154
enclosure	1.097	23.63733	34	31
road	1.093	5.58828	164	150
bank	1.091	17.06924	12	11
ramp	1.091	25.92327	36	33
containers	1.091	41.26696	12	11
runway	1.089	69.68066	49	45
racquet	1.088	33.25629	37	34
head	1.088	4.05491	62	57
cage	1.087	18.37188	25	23
cellphone	1.087	17.78511	25	23
game	1.087	11.27590	163	150
hill	1.085	13.63859	64	59
team	1.083	21.44507	13	12
staring	1.083	8.97368	13	12
skies	1.083	19.61451	13	12
brush	1.08	23.59491	27	25
catcher	1.08	55.92484	27	25
buses	1.077	34.45512	14	13
umbrella	1.074	20.67499	102	95
equipment	1.071	11.89083	15	14
bathtub	1.071	56.66854	15	14
full	1.071	3.42449	90	84
pastry	1.071	21.23737	15	14
pen	1.071	16.01845	15	14
children	1.069	6.48717	77	72
bat	1.069	33.09021	109	102
pitch	1.067	44.60563	16	15
kitchen	1.065	17.18229	228	214
towards	1.062	4.15350	17	16
branch	1.062	66.82715	17	16
skateboards	1.062	23.16752	17	16
plants	1.061	11.80475	35	33
suit	1.057	14.67016	37	35
window	1.057	6.81316	93	88
sky	1.056	13.11897	152	144
surface	1.053	5.80266	20	19
containing	1.05	7.59435	21	20
gear	1.05	17.57805	21	20
bags	1.05	14.00404	21	20
sidewalk	1.05	7.58299	106	101
racket	1.045	35.06492	69	66
mouth	1.044	12.86864	47	45
bicycle	1.043	29.35297	24	23
surfboard	1.042	30.39040	74	71
towel	1.042	16.86618	25	24
chair	1.036	7.39946	114	110
suitcase	1.033	21.43459	31	30
trick	1.033	23.29548	31	30
shore	1.031	17.24133	33	32
floor	1.029	6.19914	70	68
teeth	1.029	72.58582	36	35
store	1.029	12.93072	36	35
forest	1.027	10.40370	38	37
microwave	1.027	48.40789	38	37
with	1.026	1.08766	2743	2674
snowboard	1.021	31.37082	48	47
pizza	1.021	27.00934	241	236
ground	1.014	2.87846	75	74
counter	1.013	9.17371	77	76
beach	1.012	17.71180	169	167
of	1.009	1.02349	3643	3611
train	1.007	22.01280	280	278
top	1.005	1.73518	403	401
near	1.003	1.52558	312	311
including	1.0	11.53684	17	17
station	1.0	27.35466	39	39
market	1.0	56.32959	25	25
covered	1.0	4.35000	113	113
packed	1.0	27.55679	10	10
tarmac	1.0	77.25713	22	22
terminal	1.0	38.78710	10	10
under	1.0	3.07991	97	97
directions	1.0	23.70585	12	12
past	1.0	5.52460	25	25
onto	1.0	3.72901	30	30
pouring	1.0	29.03990	4	4
colored	1.0	3.66704	40	40
mounted	1.0	10.63327	14	14
during	1.0	6.72257	48	48
written	1.0	21.84405	3	3
ledge	1.0	11.13834	4	4
clothing	1.0	9.52127	5	5
between	1.0	3.42219	37	37
overlooking	1.0	13.90650	11	11
direction	1.0	15.40962	7	7
across	1.0	3.49636	53	53
against	1.0	3.55562	42	42
branches	1.0	29.30438	12	12
lawn	1.0	13.50365	8	8
sized	1.0	9.53806	6	6
desert	1.0	13.94482	11	11
among	1.0	7.53308	14	14
leg	1.0	12.83090	1	1
wetsuit	1.0	71.87691	3	3
couches	1.0	53.62271	9	9
furniture	1.0	29.96928	39	39
surrounding	1.0	10.10519	3	3
mitt	1.0	35.94371	1	1
shoulder	1.0	13.40569	6	6
supplies	1.0	25.01635	8	8
toaster	1.0	61.09385	4	4
shirts	1.0	16.05514	3	3
toilets	1.0	53.81901	6	6
potatoes	1.0	41.74103	9	9
beneath	1.0	6.91283	7	7
foot	1.0	9.40433	13	13
atop	1.0	5.67577	13	13
barn	1.0	27.62128	5	5
toward	1.0	5.49624	11	11
platform	1.0	36.10799	9	9
tracks	1.0	37.91749	66	66
rope	1.0	30.94742	4	4
poles	1.0	21.29590	9	9
salad	1.0	33.80510	41	41
ladies	1.0	11.48453	3	3
boarder	1.0	16.38728	5	5
wave	1.0	56.25538	36	36
tv	1.0	26.31260	51	51
ceiling	1.0	21.89669	13	13
doors	1.0	14.74668	4	4
riders	1.0	25.27107	5	5
rider	1.0	22.73959	14	14
reading	1.0	9.32232	8	8
tail	1.0	20.85330	2	2
photos	1.0	10.42325	7	7
leash	1.0	20.61088	4	4
pillow	1.0	26.24201	12	12
disc	1.0	28.68054	8	8
plain	1.0	18.47535	8	8
serving	1.0	12.32186	17	17
nose	1.0	14.35468	2	2
featuring	1.0	10.40909	4	4
slopes	1.0	42.44914	5	5
clocks	1.0	65.79204	14	14
adults	1.0	10.72490	11	11
garden	1.0	27.05213	7	7
haired	1.0	15.91015	2	2
fallen	1.0	16.23139	4	4
device	1.0	13.91282	6	6
walkway	1.0	9.66458	4	4
flip	1.0	26.58222	2	2
without	1.0	10.62571	6	6
workers	1.0	22.35829	5	5
course	1.0	21.90300	2	2
pedestrians	1.0	22.33792	2	2
snowboarders	1.0	65.44143	5	5
backpack	1.0	12.85131	4	4
sill	1.0	44.39101	5	5
wind	1.0	33.73949	4	4
missing	1.0	20.72568	3	3
pitching	1.0	77.60906	2	2
smile	1.0	15.09891	2	2
writing	1.0	11.34494	5	5
item	1.0	10.61296	3	3
log	1.0	23.93297	3	3
beans	1.0	31.74503	1	1
museum	1.0	48.34867	1	1
in	0.999	1.04648	3201	3205
at	0.999	1.72406	710	711
on	0.997	1.07596	3605	3616
front	0.997	1.59389	319	320
from	0.994	1.79470	165	166
behind	0.991	1.95149	110	111
next	0.99	1.32668	608	614
into	0.989	2.50081	86	87
ball	0.987	14.59524	157	159
court	0.987	31.53012	76	77
through	0.986	3.15753	137	139
camera	0.985	4.41019	67	68
slope	0.985	29.34902	64	65
cutting	0.98	12.78675	48	49
clean	0.977	18.98626	42	43
river	0.977	19.97397	42	43
hands	0.974	4.76332	38	39
way	0.966	7.00746	28	29
jacket	0.962	8.65120	25	26
bike	0.959	19.70221	70	73
woods	0.957	19.90056	22	23
cows	0.955	41.50226	63	66
leaves	0.955	15.02462	21	22
donut	0.955	32.92407	21	22
by	0.954	1.42822	248	260
like	0.951	2.77292	39	41
sandwiches	0.95	31.40758	19	20
laptops	0.95	58.03514	19	20
fries	0.95	103.31669	19	20
phones	0.947	25.14242	18	19
airplanes	0.947	53.39991	18	19
benches	0.944	20.93719	17	18
along	0.942	3.59801	49	52
beside	0.942	2.02490	49	52
background	0.941	2.29876	112	119
legs	0.941	6.97441	16	17
stove	0.941	36.71385	64	68
tree	0.938	7.41566	91	97
guys	0.938	7.82809	15	16
noodles	0.938	93.05932	15	16
distance	0.938	5.43339	15	16
mountains	0.933	21.89265	28	30
dress	0.929	9.39354	13	14
skateboard	0.924	20.58004	145	157
face	0.923	4.49689	36	39
waves	0.923	38.11202	24	26
pictures	0.923	6.25017	12	13
buildings	0.922	10.50632	47	51
tie	0.922	33.44282	47	51
ocean	0.917	19.09313	55	60
colors	0.909	8.28659	10	11
loaded	0.909	14.58456	10	11
carriage	0.909	113.47410	20	22
lunch	0.909	31.28615	10	11
for	0.906	1.84465	192	212
banana	0.902	26.87597	55	61
trucks	0.9	28.07820	9	10
frisbee	0.899	25.82008	89	99
glass	0.891	7.03837	90	101
television	0.891	26.12839	49	55
foods	0.889	23.18290	8	9
rock	0.889	20.42712	16	18
steps	0.889	16.52187	8	9
spread	0.889	18.22117	8	9
horses	0.888	28.51766	79	89
mirror	0.887	18.84121	86	97
inside	0.884	2.79685	76	86
utensils	0.882	18.35790	15	17
restaurant	0.879	13.61933	51	58
surfers	0.875	42.95237	7	8
kites	0.875	55.84570	28	32
clouds	0.875	28.78746	7	8
before	0.875	6.06454	7	8
sheets	0.875	41.92815	7	8
computer	0.871	21.47019	108	124
time	0.87	8.28860	20	23
adult	0.87	10.76562	20	23
boats	0.868	53.78747	33	38
underneath	0.867	5.07001	13	15
street	0.864	6.00818	413	478
computers	0.864	60.86773	19	22
skiers	0.864	45.34986	19	22
over	0.863	2.31116	139	161
land	0.857	13.31397	6	7
alongside	0.857	8.28814	6	7
coat	0.857	12.34379	6	7
cups	0.857	19.14277	6	7
laptop	0.855	23.48405	136	159
donuts	0.851	54.60304	40	47
pie	0.846	25.86969	11	13
zebras	0.843	65.70860	59	70
elephants	0.842	60.36709	80	95
pillows	0.842	51.50433	16	19
surfboards	0.84	31.85721	21	25
sun	0.839	6.44872	26	31
paint	0.833	13.84548	10	12
crosswalk	0.833	28.84948	5	6
after	0.833	8.49750	10	12
dessert	0.833	19.75672	10	12
space	0.833	9.97575	5	6
bowls	0.833	27.91904	10	12
center	0.833	9.11324	5	6
steep	0.833	33.78811	5	6
candle	0.833	30.13680	10	12
locomotive	0.833	121.31744	5	6
soup	0.833	88.09175	15	18
breakfast	0.833	34.99761	5	6
park	0.823	8.17144	93	113
book	0.822	12.41991	37	45
apple	0.821	31.79070	23	28
above	0.82	3.89466	50	61
houses	0.818	16.08503	9	11
sauce	0.818	21.34955	9	11
dresser	0.818	35.73655	9	11
airport	0.817	43.83297	49	60
air	0.817	7.25787	89	109
sheep	0.814	48.46145	79	97
animals	0.812	11.52211	39	48
base	0.812	30.76804	13	16
tile	0.81	23.33440	17	21
sand	0.806	17.53030	29	36
curtain	0.8	49.90885	4	5
frosting	0.8	35.46700	8	10
electronics	0.8	45.31687	4	5
wheels	0.8	17.64320	4	5
pavement	0.8	11.62805	4	5
gets	0.8	11.30532	8	10
controllers	0.8	51.27531	8	10
carpet	0.8	15.56502	4	5
eggs	0.8	34.70167	4	5
screen	0.794	18.91690	27	34
drawn	0.786	70.11597	11	14
sofa	0.786	23.38387	11	14
doughnuts	0.781	59.58636	25	32
umpire	0.778	73.61479	7	9
fish	0.778	18.45638	7	9
male	0.767	6.31256	23	30
rail	0.76	13.75937	19	25
bush	0.75	17.59261	3	4
roof	0.75	16.10407	3	4
lettuce	0.75	43.94762	9	12
toppings	0.75	41.59329	12	16
games	0.75	35.16175	6	8
farm	0.75	23.41783	3	4
party	0.75	20.63114	6	8
vanity	0.75	46.13513	9	12
things	0.75	7.38679	3	4
color	0.75	8.85486	6	8
deck	0.75	19.00266	3	4
juice	0.75	30.66866	6	8
mountain	0.747	18.91748	56	75
baby	0.739	11.09436	51	69
costume	0.733	19.50749	11	15
smiling	0.733	6.20678	33	45
chairs	0.731	17.87885	38	52
toy	0.731	6.93355	19	26
down	0.73	2.77789	270	370
style	0.727	5.64560	8	11
suitcases	0.727	26.74041	8	11
lap	0.722	17.34186	13	18
office	0.722	24.81823	13	18
flowers	0.721	24.74407	62	86
tiles	0.714	36.48765	5	7
uniform	0.714	17.75869	15	21
tables	0.714	16.36907	15	21
competition	0.714	21.81746	5	7
stuff	0.714	11.24457	5	7
trays	0.714	38.64643	5	7
